Entity,Date,confirmedcases,Death,recovered,Deathrate,RecoveryRate
Afghanistan,22-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,23-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,24-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,25-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,26-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,27-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,28-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,29-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,30-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,31-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,01-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,02-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,03-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,04-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,05-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,06-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,07-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,08-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,09-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,10-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,11-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,12-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,13-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,14-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,15-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,16-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,17-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,18-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,19-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,20-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,21-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,22-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,23-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Afghanistan,24-Feb-20,1,0,0,0,0
Afghanistan,25-Feb-20,1,0,0,0,0
Afghanistan,26-Feb-20,1,0,0,0,0
Afghanistan,27-Feb-20,1,0,0,0,0
Afghanistan,28-Feb-20,1,0,0,0,0
Afghanistan,29-Feb-20,1,0,0,0,0
Afghanistan,01-Mar-20,1,0,0,0,0
Afghanistan,02-Mar-20,1,0,0,0,0
Afghanistan,03-Mar-20,1,0,0,0,0
Afghanistan,04-Mar-20,1,0,0,0,0
Afghanistan,05-Mar-20,1,0,0,0,0
Afghanistan,06-Mar-20,1,0,0,0,0
Afghanistan,07-Mar-20,1,0,0,0,0
Afghanistan,08-Mar-20,4,0,0,0,0
Afghanistan,09-Mar-20,4,0,0,0,0
Afghanistan,10-Mar-20,5,0,0,0,0
Afghanistan,11-Mar-20,7,0,0,0,0
Afghanistan,12-Mar-20,7,0,0,0,0
Afghanistan,13-Mar-20,7,0,0,0,0
Afghanistan,14-Mar-20,11,0,0,0,0
Afghanistan,15-Mar-20,16,0,0,0,0
Afghanistan,16-Mar-20,21,0,1,0,4.761904762
Afghanistan,17-Mar-20,22,0,1,0,4.545454545
Afghanistan,18-Mar-20,22,0,1,0,4.545454545
Afghanistan,19-Mar-20,22,0,1,0,4.545454545
Afghanistan,20-Mar-20,24,0,1,0,4.166666667
Afghanistan,21-Mar-20,24,0,1,0,4.166666667
Afghanistan,22-Mar-20,40,1,1,2.5,2.5
Afghanistan,23-Mar-20,40,1,1,2.5,2.5
Afghanistan,24-Mar-20,74,1,1,1.351351351,1.351351351
Afghanistan,25-Mar-20,84,2,2,2.380952381,2.380952381
Afghanistan,26-Mar-20,94,4,2,4.255319149,2.127659574
Afghanistan,27-Mar-20,110,4,2,3.636363636,1.818181818
Afghanistan,28-Mar-20,110,4,2,3.636363636,1.818181818
Afghanistan,29-Mar-20,120,4,2,3.333333333,1.666666667
Afghanistan,30-Mar-20,170,4,2,2.352941176,1.176470588
Afghanistan,31-Mar-20,174,4,5,2.298850575,2.873563218
Afghanistan,01-Apr-20,237,4,5,1.687763713,2.109704641
Afghanistan,02-Apr-20,273,6,10,2.197802198,3.663003663
Afghanistan,03-Apr-20,281,6,10,2.135231317,3.558718861
Afghanistan,04-Apr-20,299,7,10,2.341137124,3.344481605
Afghanistan,05-Apr-20,349,7,15,2.005730659,4.297994269
Afghanistan,06-Apr-20,367,11,18,2.997275204,4.904632153
Afghanistan,07-Apr-20,423,14,18,3.309692671,4.255319149
Afghanistan,08-Apr-20,444,14,29,3.153153153,6.531531532
Afghanistan,09-Apr-20,484,15,32,3.099173554,6.611570248
Afghanistan,10-Apr-20,521,15,32,2.879078695,6.142034549
Afghanistan,11-Apr-20,555,18,32,3.243243243,5.765765766
Afghanistan,12-Apr-20,607,18,32,2.965403624,5.271828666
Afghanistan,13-Apr-20,665,21,32,3.157894737,4.812030075
Afghanistan,14-Apr-20,714,23,40,3.221288515,5.602240896
Afghanistan,15-Apr-20,784,25,43,3.18877551,5.484693878
Afghanistan,16-Apr-20,840,30,54,3.571428571,6.428571429
Afghanistan,17-Apr-20,906,30,99,3.311258278,10.92715232
Albania,09-Mar-20,2,0,0,0,0
Albania,10-Mar-20,6,0,0,0,0
Albania,11-Mar-20,10,1,0,10,0
Albania,12-Mar-20,11,1,0,9.090909091,0
Albania,13-Mar-20,23,1,0,4.347826087,0
Albania,14-Mar-20,33,1,0,3.03030303,0
Albania,15-Mar-20,38,1,0,2.631578947,0
Albania,16-Mar-20,42,1,0,2.380952381,0
Albania,17-Mar-20,51,1,0,1.960784314,0
Albania,18-Mar-20,55,2,0,3.636363636,0
Albania,19-Mar-20,59,2,0,3.389830508,0
Albania,20-Mar-20,70,2,0,2.857142857,0
Albania,21-Mar-20,70,2,2,2.857142857,2.857142857
Albania,22-Mar-20,76,2,2,2.631578947,2.631578947
Albania,23-Mar-20,89,4,2,4.494382022,2.247191011
Albania,24-Mar-20,100,5,10,5,10
Albania,25-Mar-20,123,5,17,4.06504065,13.82113821
Albania,26-Mar-20,146,6,17,4.109589041,11.64383562
Albania,27-Mar-20,174,8,31,4.597701149,17.81609195
Albania,28-Mar-20,186,10,31,5.376344086,16.66666667
Albania,29-Mar-20,197,10,33,5.076142132,16.75126904
Albania,30-Mar-20,212,11,44,5.188679245,20.75471698
Albania,31-Mar-20,223,15,52,6.726457399,23.31838565
Albania,01-Apr-20,243,15,67,6.172839506,27.57201646
